,S&P500,nasdaq,euro50,japan,germany,kospi,gold,CSCI300,indonesia,global bond
2021-07-01,4319.94,14522.38,4078.89,28707.04,15603.81,3282.06,923.64,5229.66,6005.958,721.82
2021-07-02,4352.34,14639.33,4084.31,28783.28,15650.09,3281.78,924.04,5081.12,6023.008,724.66
2021-07-03,4352.34,14639.33,4084.31,28783.28,15650.09,3281.78,924.04,5081.12,6023.008,724.66
2021-07-04,4352.34,14639.33,4084.31,28783.28,15650.09,3281.78,924.04,5081.12,6023.008,724.66
2021-07-05,4352.34,14639.33,4087.37,28598.19,15661.97,3293.21,924.04,5085.79,6005.609,725.38
2021-07-06,4343.54,14663.64,4052.67,28643.21,15511.38,3305.21,924.77,5083.1,6047.111,723.35
2021-07-07,4358.13,14665.06,4078.53,28366.95,15692.71,3285.34,927.64,5140.49,6044.037,724.41
2021-07-08,4320.82,14559.79,3991.66,28118.03,15420.64,3252.68,928.66,5088.26,6039.896,717.06
2021-07-09,4369.55,14701.92,4068.09,27940.42,15687.93,3217.95,927.29,5069.44,6039.844,723.6
2021-07-10,4369.55,14701.92,4068.09,27940.42,15687.93,3217.95,927.29,5069.44,6039.844,723.6
2021-07-11,4369.55,14701.92,4068.09,27940.42,15687.93,3217.95,927.29,5069.44,6039.844,723.6
2021-07-12,4384.63,14733.24,4093.38,28569.02,15790.51,3246.47,926.98,5132.71,6078.568,727.33
2021-07-13,4369.21,14677.65,4094.56,28718.24,15789.64,3271.38,925.55,5142.1,6012.032,726.33
2021-07-14,4374.3,14644.95,4099.5,28608.49,15788.98,3264.81,927.45,5083.08,5979.215,726.09
2021-07-15,4360.03,14543.13,4056.39,28279.09,15629.66,3286.22,930.99,5151.46,6046.754,723.66
2021-07-16,4327.16,14427.24,4035.77,28003.08,15540.31,3276.91,931.96,5094.77,6072.51,719.17
2021-07-17,4327.16,14427.24,4035.77,28003.08,15540.31,3276.91,931.96,5094.77,6072.51,719.17
2021-07-18,4327.16,14427.24,4035.77,28003.08,15540.31,3276.91,931.96,5094.77,6072.51,719.17
2021-07-19,4258.49,14274.98,3928.53,27652.74,15133.2,3244.04,932.88,5113.5,6017.394,707.42
2021-07-20,4323.06,14498.88,3956.34,27388.16,15216.27,3232.7,933.06,5108.99,6017.394,713.3
2021-07-21,4358.69,14631.95,4026.68,27548,15422.5,3215.91,930.83,5144.04,6029.976,719.78
2021-07-22,4367.48,14684.6,4059.05,27548,15514.54,3250.21,931.1,5151.75,6137.547,722.8
