date,S&P500,nasdaq,euro50,japan,germany,kospi,gold,CSCI300,indonesia,global bond
2019-12-30,3221.29,8945.99,3748.47,23656.62,13249.01,2197.67,891.4,186.183,6299.539,564.38
2019-12-31,3230.78,8972.6,3745.15,23656.62,13249.01,2197.67,891.31,4096.58,6299.539,565.24
2020-01-01,3230.78,8972.6,3745.15,23656.62,13249.01,2197.67,891.31,4096.58,6299.539,565.24
2020-01-02,3257.85,9092.19,3793.24,23656.62,13385.93,2175.17,891.74,4152.24,6283.581,569.75
2020-01-03,3234.85,9020.77,3773.37,23656.62,13219.14,2176.46,890.1,4144.96,6323.466,566.79
2020-01-04,3234.85,9020.77,3773.37,23656.62,13219.14,2176.46,890.1,4144.96,6323.466,566.79
2020-01-05,3234.85,9020.77,3773.37,23656.62,13219.14,2176.46,890.1,4144.96,6323.466,566.79
2020-01-06,3246.28,9071.47,3752.52,23204.86,13126.99,2155.07,890.63,4129.3,6257.403,566.38
2020-01-07,3237.18,9068.58,3759.25,23575.72,13226.83,2175.54,891.9,4160.23,6279.346,566.15
2020-01-08,3253.05,9129.24,3772.56,23204.76,13320.18,2151.31,892.91,4112.32,6225.686,566.82
2020-01-09,3274.7,9203.43,3795.88,23739.87,13495.06,2186.45,893.87,4164.37,6274.493,570.65
2020-01-10,3265.35,9178.86,3789.52,23850.57,13483.31,2206.39,895.83,4163.18,6274.941,570.45
2020-01-11,3265.35,9178.86,3789.52,23850.57,13483.31,2206.39,895.83,4163.18,6274.941,570.45
2020-01-12,3265.35,9178.86,3789.52,23850.57,13483.31,2206.39,895.83,4163.18,6274.941,570.45
2020-01-13,3288.13,9273.93,3779.68,23850.57,13451.52,2229.26,895.97,4203.99,6296.567,573.33
2020-01-14,3283.15,9251.33,3774.88,24025.17,13456.49,2238.88,896.66,4189.89,6325.406,573.37
2020-01-15,3289.29,9258.7,3768.96,23916.58,13432.3,2230.98,900.27,4166.73,6283.365,573.76
2020-01-16,3316.81,9357.13,3774.14,23933.13,13429.43,2248.05,901.66,4149.04,6286.048,576.89
2020-01-17,3329.62,9388.94,3808.26,24041.26,13526.13,2250.57,900.37,4154.85,6291.657,579.24
2020-01-18,3329.62,9388.94,3808.26,24041.26,13526.13,2250.57,900.37,4154.85,6291.657,579.24
2020-01-19,3329.62,9388.94,3808.26,24041.26,13526.13,2250.57,900.37,4154.85,6291.657,579.24
2020-01-20,3329.62,9388.94,3799.03,24083.51,13548.94,2262.64,900.37,4185.83,6245.043,579.07
2020-01-21,3320.79,9370.81,3789.12,23864.56,13555.87,2239.69,899.95,4114.31,6238.153,576.69
2020-01-22,3321.75,9383.77,3769.79,24031.35,13515.75,2267.25,900.37,4131.93,6233.453,577.29
2020-01-23,3325.54,9402.48,3736.85,23795.44,13388.42,2246.13,900.97,4003.9,6249.21,575.74
2020-01-24,3295.47,9314.91,3779.16,23827.18,13576.68,2246.13,900.95,4003.9,6244.109,573.29
2020-01-25,3295.47,9314.91,3779.16,23827.18,13576.68,2246.13,900.95,4003.9,6244.109,573.29
2020-01-26,3295.47,9314.91,3779.16,23827.18,13576.68,2246.13,900.95,4003.9,6244.109,573.29
2020-01-27,3243.63,9139.31,3677.84,23343.51,13204.77,2246.13,899.73,4003.9,6133.208,564.02
2020-01-28,3276.24,9269.68,3719.22,23215.71,13323.69,2176.72,902.89,4003.9,6111.184,567.4
2020-01-29,3273.4,9275.16,3736.36,23379.4,13345,2185.28,906.91,4003.9,6113.045,567.35
2020-01-30,3283.66,9298.93,3690.78,22977.75,13157.12,2148,909.65,4003.9,6057.596,565.5
